	success	tried	health
http://50.202.180.46:8080	5641.0	7522.0	0.7499335283169369
http://38.123.140.84:9999	5343.0	7125.0	0.7498947368421053
http://104.148.77.242:8088	904.0	1206.0	0.7495854063018242
http://216.189.0.235:7808	89.0	119.0	0.7478991596638656
http://107.182.17.243:7808	44.0	59.0	0.7457627118644068
http://216.218.216.201:7808	41.0	55.0	0.7454545454545455
http://50.247.152.73:8080	35.0	47.0	0.7446808510638298
http://162.208.49.45:7808	52.0	70.0	0.7428571428571429
http://69.197.148.18:7808	75.0	101.0	0.7425742574257426
http://104.140.67.36:7808	49.0	66.0	0.7424242424242424
http://199.200.120.140:3127	72.0	97.0	0.7422680412371134
http://162.220.52.175:7808	23.0	31.0	0.7419354838709677
http://209.170.151.142:8089	46.0	62.0	0.7419354838709677
http://64.31.22.143:3127	40.0	54.0	0.7407407407407407
http://162.216.155.136:3127	37.0	50.0	0.74
http://74.50.126.248:3127	14.0	19.0	0.7368421052631579
http://67.207.166.174:7808	39.0	53.0	0.7358490566037735
http://74.50.126.249:7808	3.0	5.0	0.6
http://108.165.33.6:3128	3.0	5.0	0.6
http://108.165.33.13:3128	3.0	5.0	0.6
http://108.165.33.8:3128	3.0	5.0	0.6
http://64.31.22.131:3127	3.0	5.0	0.6
http://108.165.33.10:3128	2.0	5.0	0.4
http://108.165.33.3:3128	2.0	5.0	0.4
http://69.162.72.154:80	1.0	5.0	0.2
http://54.169.116.91:3128	1.0	5.0	0.2
http://23.102.141.185:80	1.0	5.0	0.2
http://108.165.33.12:3128	1.0	5.0	0.2
http://162.213.152.149:3128	1.0	5.0	0.2
http://199.231.211.82:8888	1.0	5.0	0.2
http://198.1.89.11:9090	1.0	5.0	0.2
http://24.249.137.246:21320	0.0	5.0	0.0
http://23.25.88.181:8080	0.0	5.0	0.0
http://76.182.185.210:21320	0.0	5.0	0.0
http://108.165.33.5:3128	0.0	5.0	0.0
http://169.226.2.77:8088	0.0	5.0	0.0
http://167.114.41.19:3127	0.0	5.0	0.0
http://50.178.161.26:21320	0.0	5.0	0.0
http://108.165.33.9:3128	0.0	5.0	0.0
http://24.177.141.191:3128	0.0	5.0	0.0
http://23.105.14.190:3128	0.0	5.0	0.0
http://64.184.34.146:9064	0.0	5.0	0.0
http://69.105.28.226:9064	0.0	5.0	0.0
http://71.236.68.145:21320	0.0	5.0	0.0
http://73.161.60.62:9064	0.0	5.0	0.0
http://69.162.202.204:21320	0.0	5.0	0.0
http://72.47.154.135:9064	0.0	5.0	0.0
http://73.52.68.212:21320	0.0	5.0	0.0
http://107.17.246.100:21320	0.0	5.0	0.0
http://67.80.45.80:21320	0.0	5.0	0.0
http://24.98.203.187:9064	0.0	5.0	0.0
http://108.165.33.4:3128	0.0	5.0	0.0
http://208.61.1.17:21320	0.0	5.0	0.0
http://161.6.41.182:21320	0.0	5.0	0.0
http://107.182.16.221:7808	0.0	5.0	0.0
http://96.126.101.242:9999	0.0	5.0	0.0
http://167.114.41.18:3127	0.0	5.0	0.0
http://107.195.133.65:9064	0.0	5.0	0.0
http://72.199.179.18:9064	0.0	5.0	0.0
http://209.136.71.173:9064	0.0	5.0	0.0
http://69.64.32.110:6363	0.0	5.0	0.0
http://69.64.32.110:14871	0.0	5.0	0.0
http://104.33.155.66:9064	0.0	5.0	0.0
http://69.116.212.178:21320	0.0	5.0	0.0
http://67.252.141.251:21320	0.0	5.0	0.0
http://204.45.51.113:7808	0.0	5.0	0.0
http://108.165.33.11:3128	0.0	5.0	0.0
http://68.89.219.26:21320	0.0	5.0	0.0
http://75.36.32.232:21320	0.0	5.0	0.0
http://69.126.180.13:21320	0.0	5.0	0.0
http://72.47.8.102:21320	0.0	5.0	0.0
http://71.233.32.233:9064	0.0	5.0	0.0
http://108.165.33.7:3128	0.0	5.0	0.0
http://31.220.49.104:33928	0.0	5.0	0.0
http://75.82.127.229:9064	0.0	5.0	0.0
http://50.207.23.115:8080	0.0	5.0	0.0
http://23.239.4.145:9999	0.0	5.0	0.0
http://76.4.167.184:21320	0.0	5.0	0.0
http://128.135.170.204:8088	0.0	5.0	0.0
http://172.245.60.155:3128	0.0	5.0	0.0
http://70.232.160.228:21320	0.0	5.0	0.0
